Linear_Linear1 Episode 363, Reward: -134.08221908933854, Steps: 60
Linear_Linear1 Episode 364, Reward: -120.03391450394076, Steps: 70
Linear_Linear1 Episode 365, Reward: -129.14967215675742, Steps: 65
Linear_Linear1 Episode 366, Reward: -109.58294025135189, Steps: 53
Linear_Linear1 Episode 367, Reward: -139.96024154425098, Steps: 68
Linear_Linear1 Episode 368, Reward: -141.18772850137324, Steps: 65
Linear_Linear1 Episode 369, Reward: -114.38847665031179, Steps: 87
Linear_Linear1 Episode 370, Reward: -125.13465177834527, Steps: 66
Linear_Linear1 Episode 371, Reward: -105.35224337261249, Steps: 79
Linear_Linear1 Episode 372, Reward: -148.73520015203675, Steps: 70
Linear_Linear1 Episode 373, Reward: -121.9469641905956, Steps: 62
Linear_Linear1 Episode 374, Reward: -107.52926841311438, Steps: 52
Linear_Linear1 Episode 375, Reward: -89.35529994804327, Steps: 78
Linear_Linear1 Episode 376, Reward: -772.166662424611, Steps: 135
Linear_Linear1 Episode 377, Reward: -728.654514771707, Steps: 146
Linear_Linear1 Episode 378, Reward: -1035.391200935036, Steps: 178
Linear_Linear1 Episode 379, Reward: -772.8243345189996, Steps: 116
Linear_Linear1 Episode 380, Reward: -910.3394620651408, Steps: 161
Linear_Linear1 Episode 381, Reward: -559.9810855539392, Steps: 75
Linear_Linear1 Episode 382, Reward: -801.8222328497784, Steps: 119
Linear_Linear1 Episode 383, Reward: -624.6176198298349, Steps: 75
Linear_Linear1 Episode 384, Reward: -1995.9972697790433, Steps: 269
Linear_Linear1 Episode 385, Reward: -498.20642357482876, Steps: 82
Linear_Linear1 Episode 386, Reward: -858.9679062877594, Steps: 126
Linear_Linear1 Episode 387, Reward: -1265.6025797756333, Steps: 186
Linear_Linear1 Episode 388, Reward: -728.4516456820658, Steps: 98
Linear_Linear1 Episode 389, Reward: -585.8388597348711, Steps: 84
Linear_Linear1 Episode 390, Reward: -1019.6942877572335, Steps: 148
Linear_Linear1 Episode 391, Reward: -1421.281623008363, Steps: 180
Linear_Linear1 Episode 392, Reward: -450.36035101602545, Steps: 78
Linear_Linear1 Episode 393, Reward: -880.8899076804837, Steps: 145
Linear_Linear1 Episode 394, Reward: -698.3791523364084, Steps: 125
Linear_Linear1 Episode 395, Reward: -1506.8666215926594, Steps: 256
Linear_Linear1 Episode 396, Reward: -498.68562663539, Steps: 98
Linear_Linear1 Episode 397, Reward: -600.4004093396682, Steps: 122
Linear_Linear1 Episode 398, Reward: -566.5242244428155, Steps: 78
Linear_Linear1 Episode 399, Reward: -764.7410193845859, Steps: 114
