LinearNorm_Residue2 Episode 349, Reward: 14.533732613943457, Steps: 184
LinearNorm_Residue2 Episode 350, Reward: 38.15223344607912, Steps: 164
LinearNorm_Residue2 Episode 351, Reward: -42.45010998555286, Steps: 212
LinearNorm_Residue2 Episode 352, Reward: 5.343526375634255, Steps: 209
LinearNorm_Residue2 Episode 353, Reward: -67.73598430909345, Steps: 200
LinearNorm_Residue2 Episode 354, Reward: 173.61694559318076, Steps: 671
LinearNorm_Residue2 Episode 355, Reward: -59.902188978931974, Steps: 196
LinearNorm_Residue2 Episode 356, Reward: 211.9857886575732, Steps: 629
LinearNorm_Residue2 Episode 357, Reward: -14.782044849090141, Steps: 332
LinearNorm_Residue2 Episode 358, Reward: -44.64603639659258, Steps: 515
LinearNorm_Residue2 Episode 359, Reward: -82.58413465188792, Steps: 218
LinearNorm_Residue2 Episode 360, Reward: -66.60381753498424, Steps: 733
LinearNorm_Residue2 Episode 361, Reward: 126.81550175217784, Steps: 918
LinearNorm_Residue2 Episode 362, Reward: 191.07101476313596, Steps: 660
LinearNorm_Residue2 Episode 363, Reward: 29.531955227306042, Steps: 1462
LinearNorm_Residue2 Episode 364, Reward: 68.64397652230356, Steps: 1224
LinearNorm_Residue2 Episode 365, Reward: 173.7109158924742, Steps: 538
LinearNorm_Residue2 Episode 366, Reward: -136.51256378770017, Steps: 317
LinearNorm_Residue2 Episode 367, Reward: -228.21233500020094, Steps: 278
