Linear_Residue2 Episode 331, Reward: 30.779285527760948, Steps: 132
Linear_Residue2 Episode 332, Reward: 29.22105529270476, Steps: 94
Linear_Residue2 Episode 333, Reward: -194.19204160283795, Steps: 120
Linear_Residue2 Episode 334, Reward: 22.532689752046707, Steps: 119
Linear_Residue2 Episode 335, Reward: 167.21074756126603, Steps: 437
Linear_Residue2 Episode 336, Reward: 249.12234491086483, Steps: 256
Linear_Residue2 Episode 337, Reward: 42.662029552240085, Steps: 135
Linear_Residue2 Episode 338, Reward: 285.45620135892784, Steps: 190
Linear_Residue2 Episode 339, Reward: 251.33222352849995, Steps: 268
Linear_Residue2 Episode 340, Reward: 236.58041985703912, Steps: 371
Linear_Residue2 Episode 341, Reward: 19.065724189108707, Steps: 118
Linear_Residue2 Episode 342, Reward: 62.76845327945591, Steps: 133
Linear_Residue2 Episode 343, Reward: -40.995881029071796, Steps: 120
Linear_Residue2 Episode 344, Reward: 159.91779559847856, Steps: 583
Linear_Residue2 Episode 345, Reward: 54.7946067336907, Steps: 131
Linear_Residue2 Episode 346, Reward: 18.357652892701594, Steps: 131
Linear_Residue2 Episode 347, Reward: 183.6168705823613, Steps: 384
Linear_Residue2 Episode 348, Reward: 212.24227484444933, Steps: 557
Linear_Residue2 Episode 349, Reward: 57.833473464459395, Steps: 1000
Linear_Residue2 Episode 350, Reward: -3.5546547181966544, Steps: 1000
Linear_Residue2 Episode 351, Reward: -263.3415834862085, Steps: 509
Linear_Residue2 Episode 352, Reward: -278.14922949403996, Steps: 350
Linear_Residue2 Episode 353, Reward: -299.8660236348902, Steps: 251
Linear_Residue2 Episode 354, Reward: -292.27677638455293, Steps: 244
Linear_Residue2 Episode 355, Reward: -253.14921947858033, Steps: 243
Linear_Residue2 Episode 356, Reward: -239.65867829300504, Steps: 501
Linear_Residue2 Episode 357, Reward: -201.55597749263023, Steps: 392
Linear_Residue2 Episode 358, Reward: -64.4901571183777, Steps: 461
Linear_Residue2 Episode 359, Reward: -268.58059547337785, Steps: 469
Linear_Residue2 Episode 360, Reward: 63.87352461657292, Steps: 146
Linear_Residue2 Episode 361, Reward: -85.65221748706782, Steps: 1000
Linear_Residue2 Episode 362, Reward: 81.48718530410957, Steps: 146
Linear_Residue2 Episode 363, Reward: 210.56159230981615, Steps: 364
Linear_Residue2 Episode 364, Reward: 249.5157934196361, Steps: 357
Linear_Residue2 Episode 365, Reward: 233.5338723299219, Steps: 343
Linear_Residue2 Episode 366, Reward: 200.40051783195923, Steps: 375
Linear_Residue2 Episode 367, Reward: -234.8995662191716, Steps: 469
Linear_Residue2 Episode 368, Reward: 12.924917586539593, Steps: 1000
Linear_Residue2 Episode 369, Reward: 178.89892106576195, Steps: 784
Linear_Residue2 Episode 370, Reward: -256.40693329144375, Steps: 901
Linear_Residue2 Episode 371, Reward: -298.7968629068712, Steps: 762
Linear_Residue2 Episode 372, Reward: -172.24027919552083, Steps: 1000
Linear_Residue2 Episode 373, Reward: -147.3028878504846, Steps: 1000
Linear_Residue2 Episode 374, Reward: -111.7731284642345, Steps: 1000
Linear_Residue2 Episode 375, Reward: -68.3606306196249, Steps: 1000
Linear_Residue2 Episode 376, Reward: -171.82332243853904, Steps: 828
Linear_Residue2 Episode 377, Reward: -73.79403037285537, Steps: 1000
Linear_Residue2 Episode 378, Reward: -171.93816638404348, Steps: 1000
Linear_Residue2 Episode 379, Reward: -233.15944438534, Steps: 765
