Residue_Residue2 Episode 298, Reward: 37.69278029861354, Steps: 108
Residue_Residue2 Episode 299, Reward: -309.97866569042833, Steps: 106
Residue_Residue2 Episode 300, Reward: -192.35935529580416, Steps: 142
Residue_Residue2 Episode 301, Reward: 259.9548529680702, Steps: 171
Residue_Residue2 Episode 302, Reward: -212.32679870825837, Steps: 193
Residue_Residue2 Episode 303, Reward: 242.08635799280765, Steps: 209
Residue_Residue2 Episode 304, Reward: -163.93545838146883, Steps: 151
Residue_Residue2 Episode 305, Reward: 219.8916865982623, Steps: 169
Residue_Residue2 Episode 306, Reward: 15.331458038137697, Steps: 115
Residue_Residue2 Episode 307, Reward: 210.82506383041812, Steps: 303
Residue_Residue2 Episode 308, Reward: -160.3046740079626, Steps: 190
Residue_Residue2 Episode 309, Reward: -39.37375995197489, Steps: 89
Residue_Residue2 Episode 310, Reward: -106.73906477708543, Steps: 145
Residue_Residue2 Episode 311, Reward: -113.01616852395149, Steps: 207
Residue_Residue2 Episode 312, Reward: -133.57582766753274, Steps: 117
Residue_Residue2 Episode 313, Reward: -23.74793035673477, Steps: 90
Residue_Residue2 Episode 314, Reward: 112.5987391437488, Steps: 665
Residue_Residue2 Episode 315, Reward: 118.3610916137955, Steps: 994
Residue_Residue2 Episode 316, Reward: -51.26433112527613, Steps: 91
Residue_Residue2 Episode 317, Reward: 237.37603693365662, Steps: 344
Residue_Residue2 Episode 318, Reward: -95.43664273411072, Steps: 199
Residue_Residue2 Episode 319, Reward: 7.64407756093722, Steps: 88
Residue_Residue2 Episode 320, Reward: -9.063303454069825, Steps: 101
Residue_Residue2 Episode 321, Reward: -70.34138405569068, Steps: 218
Residue_Residue2 Episode 322, Reward: -354.15029342832963, Steps: 386
Residue_Residue2 Episode 323, Reward: -85.44527494205542, Steps: 319
Residue_Residue2 Episode 324, Reward: -165.91322552012494, Steps: 321
Residue_Residue2 Episode 325, Reward: -156.09835563467777, Steps: 419
Residue_Residue2 Episode 326, Reward: 245.59433062337425, Steps: 344
Residue_Residue2 Episode 327, Reward: -228.08865994023014, Steps: 1039
Residue_Residue2 Episode 328, Reward: -188.8974093448996, Steps: 664
Residue_Residue2 Episode 329, Reward: -80.9544833839434, Steps: 290
Residue_Residue2 Episode 330, Reward: 247.26415948423764, Steps: 452
Residue_Residue2 Episode 331, Reward: -98.15172680536224, Steps: 293
Residue_Residue2 Episode 332, Reward: -101.3305223312546, Steps: 422
Residue_Residue2 Episode 333, Reward: -144.23881714584837, Steps: 325
Residue_Residue2 Episode 334, Reward: -149.7640830963032, Steps: 551
Residue_Residue2 Episode 335, Reward: -137.6614354491615, Steps: 446
Residue_Residue2 Episode 336, Reward: -263.4054675478635, Steps: 1586
Residue_Residue2 Episode 337, Reward: -140.24044571095286, Steps: 170
Residue_Residue2 Episode 338, Reward: 10.694358773266003, Steps: 92
Residue_Residue2 Episode 339, Reward: -133.61680971009912, Steps: 220
Residue_Residue2 Episode 340, Reward: -101.75250661144977, Steps: 154
Residue_Residue2 Episode 341, Reward: -85.87775019109837, Steps: 187
Residue_Residue2 Episode 342, Reward: 231.80972330412436, Steps: 206
Residue_Residue2 Episode 343, Reward: 245.24528690356834, Steps: 170
Residue_Residue2 Episode 344, Reward: -137.70744007381057, Steps: 283
Residue_Residue2 Episode 345, Reward: -157.05169020325968, Steps: 398
Residue_Residue2 Episode 346, Reward: -109.50735609916624, Steps: 221
Residue_Residue2 Episode 347, Reward: -73.10432509457293, Steps: 224
Residue_Residue2 Episode 348, Reward: -77.51796752558624, Steps: 110
Residue_Residue2 Episode 349, Reward: -181.2966718326725, Steps: 558
Residue_Residue2 Episode 350, Reward: -123.63495689986773, Steps: 164
Residue_Residue2 Episode 351, Reward: -109.81559861596931, Steps: 432
Residue_Residue2 Episode 352, Reward: 163.47449895374567, Steps: 1074
Residue_Residue2 Episode 353, Reward: -230.10045376023334, Steps: 680
Residue_Residue2 Episode 354, Reward: 235.4089440854232, Steps: 232
Residue_Residue2 Episode 355, Reward: -152.7328858250783, Steps: 330
Residue_Residue2 Episode 356, Reward: -170.88953976774013, Steps: 286
Residue_Residue2 Episode 357, Reward: -142.204149847647, Steps: 291
Residue_Residue2 Episode 358, Reward: -90.16023949187905, Steps: 135
Residue_Residue2 Episode 359, Reward: -194.4562475479771, Steps: 564
Residue_Residue2 Episode 360, Reward: -47.53835018636036, Steps: 111
Residue_Residue2 Episode 361, Reward: 237.8850515478597, Steps: 280
Residue_Residue2 Episode 362, Reward: -115.74294447800659, Steps: 337
Residue_Residue2 Episode 363, Reward: -231.2952214090024, Steps: 144
Residue_Residue2 Episode 364, Reward: -64.5128751208555, Steps: 371
Residue_Residue2 Episode 365, Reward: -169.59881913879974, Steps: 596
Residue_Residue2 Episode 366, Reward: -186.079065287487, Steps: 496
Residue_Residue2 Episode 367, Reward: 130.88558558925354, Steps: 557
Residue_Residue2 Episode 368, Reward: -91.10279704888484, Steps: 261
Residue_Residue2 Episode 369, Reward: -63.13833813145423, Steps: 94
Residue_Residue2 Episode 370, Reward: -161.8933353572442, Steps: 129
Residue_Residue2 Episode 371, Reward: -91.23290961443334, Steps: 386
Residue_Residue2 Episode 372, Reward: 231.42248450317012, Steps: 654
Residue_Residue2 Episode 373, Reward: 173.39484470164712, Steps: 330
Residue_Residue2 Episode 374, Reward: -343.6277971074484, Steps: 1738
Residue_Residue2 Episode 375, Reward: -689.7184513733268, Steps: 3874
Residue_Residue2 Episode 376, Reward: -362.6656861696646, Steps: 1652
Residue_Residue2 Episode 377, Reward: 213.1518260368304, Steps: 348
Residue_Residue2 Episode 378, Reward: -52.94029121247887, Steps: 233
Residue_Residue2 Episode 379, Reward: 240.03615268304532, Steps: 212
Residue_Residue2 Episode 380, Reward: -816.1996157273516, Steps: 417
Residue_Residue2 Episode 381, Reward: 71.64985849003858, Steps: 729
Residue_Residue2 Episode 382, Reward: -117.03585127457953, Steps: 226
Residue_Residue2 Episode 383, Reward: -183.56521573506626, Steps: 703
Residue_Residue2 Episode 384, Reward: -112.7286887148921, Steps: 268
Residue_Residue2 Episode 385, Reward: -121.37414999229404, Steps: 301
Residue_Residue2 Episode 386, Reward: -177.79267073843425, Steps: 490
Residue_Residue2 Episode 387, Reward: 157.0764032142273, Steps: 381
Residue_Residue2 Episode 388, Reward: -198.42034727227843, Steps: 765
Residue_Residue2 Episode 389, Reward: -198.0065507888247, Steps: 604
Residue_Residue2 Episode 390, Reward: -20.13953206672862, Steps: 105
Residue_Residue2 Episode 391, Reward: -21.340970998326412, Steps: 200
Residue_Residue2 Episode 392, Reward: 259.7400266526828, Steps: 329
Residue_Residue2 Episode 393, Reward: 17.088929382595424, Steps: 90
Residue_Residue2 Episode 394, Reward: 195.20358241856763, Steps: 317
Residue_Residue2 Episode 395, Reward: -87.82770801652808, Steps: 241
Residue_Residue2 Episode 396, Reward: 193.16605378437094, Steps: 315
Residue_Residue2 Episode 397, Reward: 48.46650727435281, Steps: 1013
Residue_Residue2 Episode 398, Reward: 217.47981497003707, Steps: 296
