LinearNorm_Linear2 Episode 263, Reward: 246.44620516130237, Steps: 376
LinearNorm_Linear2 Episode 264, Reward: 56.960623527728416, Steps: 150
LinearNorm_Linear2 Episode 265, Reward: 3.1164543815785777, Steps: 153
LinearNorm_Linear2 Episode 266, Reward: 32.3096512982232, Steps: 140
LinearNorm_Linear2 Episode 267, Reward: 222.99402157129748, Steps: 333
LinearNorm_Linear2 Episode 268, Reward: 271.2465132304993, Steps: 205
LinearNorm_Linear2 Episode 269, Reward: 216.08704576182237, Steps: 349
LinearNorm_Linear2 Episode 270, Reward: 12.029827881381507, Steps: 175
LinearNorm_Linear2 Episode 271, Reward: -26.911943688118384, Steps: 291
LinearNorm_Linear2 Episode 272, Reward: 251.66747005071176, Steps: 216
LinearNorm_Linear2 Episode 273, Reward: 245.58408405615407, Steps: 410
LinearNorm_Linear2 Episode 274, Reward: -49.67053780947717, Steps: 236
LinearNorm_Linear2 Episode 275, Reward: 72.79438638869519, Steps: 162
LinearNorm_Linear2 Episode 276, Reward: -193.36611960535453, Steps: 219
LinearNorm_Linear2 Episode 277, Reward: 249.9962600899772, Steps: 448
LinearNorm_Linear2 Episode 278, Reward: 0.8524898176725486, Steps: 338
LinearNorm_Linear2 Episode 279, Reward: -138.48652161444824, Steps: 239
LinearNorm_Linear2 Episode 280, Reward: -136.78294636975647, Steps: 213
LinearNorm_Linear2 Episode 281, Reward: 232.18434221436956, Steps: 518
LinearNorm_Linear2 Episode 282, Reward: 151.81158706439572, Steps: 404
LinearNorm_Linear2 Episode 283, Reward: 11.332263694258614, Steps: 312
LinearNorm_Linear2 Episode 284, Reward: 177.4049766970416, Steps: 410
LinearNorm_Linear2 Episode 285, Reward: 235.74274788705276, Steps: 394
LinearNorm_Linear2 Episode 286, Reward: -372.1564585005249, Steps: 330
LinearNorm_Linear2 Episode 287, Reward: -351.4588796084787, Steps: 223
LinearNorm_Linear2 Episode 288, Reward: -569.4331424306134, Steps: 388
LinearNorm_Linear2 Episode 289, Reward: 108.2297685253682, Steps: 693
LinearNorm_Linear2 Episode 290, Reward: -28.226971042702104, Steps: 534
LinearNorm_Linear2 Episode 291, Reward: -333.87338685048564, Steps: 536
LinearNorm_Linear2 Episode 292, Reward: -242.6699570322032, Steps: 674
LinearNorm_Linear2 Episode 293, Reward: -44.96470987991141, Steps: 196
LinearNorm_Linear2 Episode 294, Reward: -49.2842439886912, Steps: 218
LinearNorm_Linear2 Episode 295, Reward: -222.68615236760243, Steps: 178
LinearNorm_Linear2 Episode 296, Reward: -82.3027279615145, Steps: 144
LinearNorm_Linear2 Episode 297, Reward: -115.26496681231022, Steps: 328
LinearNorm_Linear2 Episode 298, Reward: -119.91986740685081, Steps: 704
LinearNorm_Linear2 Episode 299, Reward: -258.1612905487873, Steps: 959
LinearNorm_Linear2 Episode 300, Reward: 178.55182449300634, Steps: 578
LinearNorm_Linear2 Episode 301, Reward: -112.00694020162624, Steps: 812
LinearNorm_Linear2 Episode 302, Reward: -54.099232241543085, Steps: 258
LinearNorm_Linear2 Episode 303, Reward: -429.5828652308079, Steps: 1447
LinearNorm_Linear2 Episode 304, Reward: -37.3449352276008, Steps: 132
LinearNorm_Linear2 Episode 305, Reward: 201.04310304769666, Steps: 675
LinearNorm_Linear2 Episode 306, Reward: -138.59889304271684, Steps: 391
LinearNorm_Linear2 Episode 307, Reward: -625.2434281686532, Steps: 2077
LinearNorm_Linear2 Episode 308, Reward: -126.2395539924425, Steps: 2194
LinearNorm_Linear2 Episode 309, Reward: 99.97597461254058, Steps: 1262
LinearNorm_Linear2 Episode 310, Reward: -18.493465213147005, Steps: 1282
LinearNorm_Linear2 Episode 311, Reward: -16.66689272536844, Steps: 147
LinearNorm_Linear2 Episode 312, Reward: 250.82427225786154, Steps: 606
LinearNorm_Linear2 Episode 313, Reward: 74.54574534181043, Steps: 1223
LinearNorm_Linear2 Episode 314, Reward: -1235.6474054531598, Steps: 6776
LinearNorm_Linear2 Episode 315, Reward: -407.04130668584247, Steps: 2218
LinearNorm_Linear2 Episode 316, Reward: -267.2086992159988, Steps: 1860
LinearNorm_Linear2 Episode 317, Reward: 136.87834579225523, Steps: 773
LinearNorm_Linear2 Episode 318, Reward: -73.78070573972559, Steps: 2061
LinearNorm_Linear2 Episode 319, Reward: 199.24783891060247, Steps: 582
LinearNorm_Linear2 Episode 320, Reward: 198.87968364239788, Steps: 561
LinearNorm_Linear2 Episode 321, Reward: 13.59705835524089, Steps: 204
LinearNorm_Linear2 Episode 322, Reward: 67.95766931382738, Steps: 174
LinearNorm_Linear2 Episode 323, Reward: 45.95531883793159, Steps: 1298
LinearNorm_Linear2 Episode 324, Reward: -284.33379190136975, Steps: 420
LinearNorm_Linear2 Episode 325, Reward: -58.58053298895928, Steps: 1778
LinearNorm_Linear2 Episode 326, Reward: -25.34770737463279, Steps: 1707
LinearNorm_Linear2 Episode 327, Reward: -496.4487468790304, Steps: 1873
LinearNorm_Linear2 Episode 328, Reward: -196.3184706238383, Steps: 102
LinearNorm_Linear2 Episode 329, Reward: 175.53933527034127, Steps: 887
LinearNorm_Linear2 Episode 330, Reward: -291.1084867878402, Steps: 368
LinearNorm_Linear2 Episode 331, Reward: -347.01104618790697, Steps: 200
LinearNorm_Linear2 Episode 332, Reward: 231.5099663471703, Steps: 439
LinearNorm_Linear2 Episode 333, Reward: 290.87482364440336, Steps: 261
LinearNorm_Linear2 Episode 334, Reward: 30.045514338679652, Steps: 162
LinearNorm_Linear2 Episode 335, Reward: -199.71202512736315, Steps: 200
LinearNorm_Linear2 Episode 336, Reward: -335.48835220139097, Steps: 212
LinearNorm_Linear2 Episode 337, Reward: -132.86333493753142, Steps: 191
LinearNorm_Linear2 Episode 338, Reward: -363.2071957553776, Steps: 203
LinearNorm_Linear2 Episode 339, Reward: 156.88206129153076, Steps: 412
LinearNorm_Linear2 Episode 340, Reward: -277.804456627898, Steps: 228
LinearNorm_Linear2 Episode 341, Reward: -203.37802296024634, Steps: 345
LinearNorm_Linear2 Episode 342, Reward: 7.559901696126616, Steps: 160
LinearNorm_Linear2 Episode 343, Reward: 175.82570534188866, Steps: 438
LinearNorm_Linear2 Episode 344, Reward: -140.0784715137045, Steps: 249
LinearNorm_Linear2 Episode 345, Reward: 274.8720752331424, Steps: 332
LinearNorm_Linear2 Episode 346, Reward: 266.2829319324055, Steps: 458
LinearNorm_Linear2 Episode 347, Reward: -348.1739801166633, Steps: 194
LinearNorm_Linear2 Episode 348, Reward: -113.74969159680981, Steps: 204
LinearNorm_Linear2 Episode 349, Reward: 270.9036340336928, Steps: 418
LinearNorm_Linear2 Episode 350, Reward: -44.29657695909238, Steps: 176
LinearNorm_Linear2 Episode 351, Reward: -75.20975184484114, Steps: 177
LinearNorm_Linear2 Episode 352, Reward: 285.9578976782919, Steps: 227
LinearNorm_Linear2 Episode 353, Reward: -10.046260031357178, Steps: 295
LinearNorm_Linear2 Episode 354, Reward: -15.38654381685005, Steps: 163
LinearNorm_Linear2 Episode 355, Reward: 252.94900292341302, Steps: 324
LinearNorm_Linear2 Episode 356, Reward: 267.1716437481324, Steps: 328
LinearNorm_Linear2 Episode 357, Reward: -0.3245610726723953, Steps: 187
LinearNorm_Linear2 Episode 358, Reward: 230.83885833365804, Steps: 351
LinearNorm_Linear2 Episode 359, Reward: 12.211262452810516, Steps: 184
LinearNorm_Linear2 Episode 360, Reward: 185.09397866390776, Steps: 631
LinearNorm_Linear2 Episode 361, Reward: 176.87844692261507, Steps: 787
LinearNorm_Linear2 Episode 362, Reward: 159.37314709348556, Steps: 488
