Residue_Linear1 Episode 216, Reward: -714.7472067874126, Steps: 124
Residue_Linear1 Episode 217, Reward: -581.8781693347839, Steps: 65
Residue_Linear1 Episode 218, Reward: -806.1374063704509, Steps: 83
Residue_Linear1 Episode 219, Reward: -824.7389652642489, Steps: 82
Residue_Linear1 Episode 220, Reward: -374.3198472363615, Steps: 54
Residue_Linear1 Episode 221, Reward: -319.0544712146841, Steps: 52
Residue_Linear1 Episode 222, Reward: -454.1134873700207, Steps: 58
Residue_Linear1 Episode 223, Reward: -866.8028666583792, Steps: 81
Residue_Linear1 Episode 224, Reward: -561.4006662391823, Steps: 70
Residue_Linear1 Episode 225, Reward: -401.39856877564193, Steps: 49
Residue_Linear1 Episode 226, Reward: -525.4698292284595, Steps: 67
Residue_Linear1 Episode 227, Reward: -896.2581883220378, Steps: 86
Residue_Linear1 Episode 228, Reward: -147.26021652159938, Steps: 78
Residue_Linear1 Episode 229, Reward: -289.574909903976, Steps: 85
Residue_Linear1 Episode 230, Reward: -123.13127300992059, Steps: 54
Residue_Linear1 Episode 231, Reward: -766.3900427737422, Steps: 83
Residue_Linear1 Episode 232, Reward: -23.172755719323902, Steps: 54
Residue_Linear1 Episode 233, Reward: -98.68389543063859, Steps: 59
Residue_Linear1 Episode 234, Reward: -138.58830207264418, Steps: 53
Residue_Linear1 Episode 235, Reward: -108.85686894254488, Steps: 53
Residue_Linear1 Episode 236, Reward: -142.01247548661897, Steps: 63
Residue_Linear1 Episode 237, Reward: -168.13958968840856, Steps: 68
Residue_Linear1 Episode 238, Reward: -142.07445712479233, Steps: 57
Residue_Linear1 Episode 239, Reward: -106.19888767862406, Steps: 54
Residue_Linear1 Episode 240, Reward: -468.7624366425498, Steps: 68
Residue_Linear1 Episode 241, Reward: -785.1656396645019, Steps: 78
Residue_Linear1 Episode 242, Reward: -158.05752202419268, Steps: 67
Residue_Linear1 Episode 243, Reward: -235.36078809026372, Steps: 52
Residue_Linear1 Episode 244, Reward: -199.11463232402198, Steps: 84
Residue_Linear1 Episode 245, Reward: -141.31842721837972, Steps: 65
Residue_Linear1 Episode 246, Reward: -147.86088539966036, Steps: 58
Residue_Linear1 Episode 247, Reward: -396.4593375910853, Steps: 91
Residue_Linear1 Episode 248, Reward: -191.48667952293363, Steps: 174
Residue_Linear1 Episode 249, Reward: -120.96877942275938, Steps: 75
Residue_Linear1 Episode 250, Reward: -32.09826197056729, Steps: 126
Residue_Linear1 Episode 251, Reward: -180.59686590093963, Steps: 137
Residue_Linear1 Episode 252, Reward: -673.0394941429697, Steps: 304
Residue_Linear1 Episode 253, Reward: -382.5210057508967, Steps: 126
Residue_Linear1 Episode 254, Reward: -466.26737946813194, Steps: 97
Residue_Linear1 Episode 255, Reward: -281.1648721623905, Steps: 98
Residue_Linear1 Episode 256, Reward: -390.79605435645425, Steps: 187
Residue_Linear1 Episode 257, Reward: -415.7890609321544, Steps: 137
Residue_Linear1 Episode 258, Reward: -526.4451062296021, Steps: 279
Residue_Linear1 Episode 259, Reward: -423.96655396753766, Steps: 163
